station_name,ridership_2013,ridership_2014,ridership_2015,ridership_2016,average
36 St,12059,12497,12810,13180,13522.333333333334
W 4 St - Washington Sq,40798,41968,42760,42755,41752.0
Jay St - MetroTech,40183,41405,43456,44267,43458.0
Times Sq - 42 St / 42 St,197696,204908,206247,202363,203308.33333333334
4 Av,13156,12835,13126,13116,13212.666666666666
Lorimer St / Metropolitan Av,14004,14573,15131,15082,14711.0
New Utrecht Av / 62 St,5159,5270,5551,5602,5164.0
Lexington Av/53 St / 51 St,69973,70606,70686,69750,66789.0
5 Av/53 St,25939,26761,26955,26566,26641.333333333332
59 St - Columbus Circle,72236,74572,73954,73836,73314.666666666672
Myrtle - Wyckoff Avs,18167,19203,19490,19673,21116.0
Lexington Av/59 St,67841,69332,68988,67684,60586.333333333336
5 Av/59 St,18394,19245,18957,18637,17382.0
14 St / 8 Av,42718,43953,45253,44680,44048.333333333336
Crown Hts - Utica Av,27780,28287,28146,29069,27795.0
149 St - Grand Concourse,14380,14576,14465,14460,13868.0
Atlantic Av - Barclays Ctr,39871,41645,42231,42711,42672.333333333336
Coney Island - Stillwell Av,13177,13734,14073,14098,13614.333333333334
Wakefield - 241 St,4825,5168,5186,5213,5035.0
Broadway-Lafayette St / Blecker St,38799,40148,39724,39058,37845.666666666664
Broadway Jct,8863,9149,9251,9189,8670.6666666666661
Fulton St,64461,69444,74676,85440,90067.0
Grand Central - 42 St,153861,157899,160294,158580,156212.0
7 Av,15800,16833,17356,17538,17606.333333333332
49 St,25356,26546,25459,27077,26502.333333333332
47-50 Sts - Rockefeller Ctr,61099,62693,63803,62283,61596.0
Franklin Av,6227,6492,6468,6289,6326.666666666667
Court St,38428,38944,38559,38089,36816.666666666664
161 St - Yankee Stadium,26972,27541,27020,26947,26551.666666666668
Brooklyn Bridge - City Hall / Chambers St,36680,37160,35858,34352,32362.666666666668
59 St,12506,12871,13048,13144,14068.0
42 St - Bryant Pk / 5 Av,53222,54289,55400,57793,57020.0
South Ferry / Whitehall St,20405,23017,28809,29534,32116.666666666668
Delancey St / Essex St,23691,24154,24902,25625,25060.0
Chambers St / WTC / Park Place,58923,61076,66165,67906,70219.333333333328
Queensboro Plaza,11132,11554,11786,12936,13651.666666666666
57 St - 7 Av,28159,29414,29976,30311,34523.666666666664
Forest Hills - 71 Av,27728,27784,28209,28135,27502.666666666668
Park Pl,2077,1968,1922,1850,1797.6666666666667
Franklin Av,15775,15787,15866,15834,15228.0
Jamaica - Van Wyck,4992,5121,5092,5022,4903.666666666667
34 St - Herald Sq,122517,125355,126776,125682,126640.66666666667
Queens Plaza,9696,10125,10475,10652,11589.333333333334
14 St - Union Sq,108158,109472,108440,106718,105810.33333333333
Court Sq,20446,22433,22717,23317,23661.333333333332
23 St,28749,29327,30652,31078,26750.666666666668
Nevins St,11468,11752,10896,10716,10613.666666666666
Canal St,44696,44362,44409,45030,46555.0
DeKalb Av,17318,17350,17889,18774,20691.0
14 St / 6 Av,49316,49990,50335,50692,49255.0
74 St - Broadway / Jackson Hts - Roosevelt Av,50841,51285,51925,52296,52026.666666666664
Hoyt - Schermerhorn Sts,9604,9672,9818,9894,10251.0
168 St,25041,25659,25845,25879,25868.666666666668
System Total,5465034,5597551,5650610,5655755,5558062.333333333
Manhattan,3027257,3103039,3130437,3128188,3090365.0
Queens,782322,797420,804251,809903,783331.0
Systemwide Adjustment,63,223,152,72,140.66666666666666
Brooklyn,1178741,1210086,1227391,1226715,1209773.0
Bronx,476651,486783,488379,490877,474452.66666666669
Houston St,15736,15878,15286,15333,15438.0
Rector St,11323,10869,10625,9788,9415.3333333333339
